city,city_id,coord,m_name,m_status,phone,mail,link,data_id
Кемерово,44,"55.34407157834,86.072822771164",Комплекс-Торг ООО,Сервисный центр,"+7 (800) 775-6060, +7 (923) 512-08-57, +7 (923) 512-11-81",dispkkm@kkmserv.ru,,246
Киров,43,"54.086193422941,34.323119406746",Вятка-Эко,Сервисный центр,"+7 (8332) 415-515 доб. 3 , +7 (8332) 640-770 , +7 (8332) 640-254",info@v-eco.ru,,245
Кострома,71,"57.755116622028,40.97300414418",ООО	«Тесла-Кассовые Системы»,Сервисный центр,"+7 (4942) 32-76-77, 42-22-52, 42-59-24",tesla-kostroma@yandex.ru,,291
Краснодар,42,"45.016873484588,38.989443146425",Игорь Лебедев АСЦН,Сервисный центр,"(+7 861) 200-13-41, (+7 961) 851-7-851",i.lebedev@ascn.ru,,749
Красноярск,41,"55.995849550904,92.89409165645",ДК-Восток ООО,Сервисный центр,"+7 (391) 226-88-08 , +7 (983) 163-63-11",operator@pl-e.ru ,shorohov_dv@pl-e.ru,242
Курган,72,"55.423741621484,65.264974347885",ООО «РОКАН»,Сервисный центр,"+7 (3522) 49-13-35, +7 (905) 85-11-494",rokan@mail.ru,,292
Курск,140,,Сервис-комплект ЦТО ООО,Сервисный центр,"+7 (4712) 58-09-09, +7 (960) 690-26-90 , +7 (906) 692-22-20",kkm@kursknet.ru ,dir@sk.kursknet.ru,1881
Липецк,58,"52.603950544344,39.558743195106",Панов Андрей Александрович (АСЦН),Сервисный центр,+7 (961) 187-01-11,a.panov@ascn.ru,,268
Магнитогорск,90,"53.394728044204,58.978694228836",ООО «Кассовые системы»,Сервисный центр,+7 (3519) 585-515,cto@kassa74.ru,,311
Мурманск,74,"68.966357278762,33.070903751591",КИМ ООО,Сервисный центр,+7 (921) 155-12-64,mikhovp@mail.ru ,zhukov_anatoly@yahoo.com,294
Мурманск,74,,ИННОТЕХ ООО,Сервисный центр,"+7 (8152) 23-46-53, +7 (8152) 23-37-38",kkm@polarnet.ru ,KKM.vrk@gmail.com,1857
Набережные Челны,40,"55.715335776151,52.40457900293",Зарипов Фанис Газизович (АСЦН),Сервисный центр,+7 (962) 553-47-37,f.zaripov@ascn.ru,,270
Надым,134,"65.543132074746,72.5185945",СервисКомпьютер.рф,Сервисный центр,+7 (3499) 57-77-11,servis.computer@mail.ru,,1868
Нижний Новгород,59,"56.315557493914,43.92415",Кларити-ТехноЦентр,Сервисный центр,"(831) 245-98-94, (910) 138-45-26",tcl@claritynn.ru,,2083
Нижневартовск,121,,БАРК-касс ООО,Сервисный центр,"+7 (3466) 45-78-20, +7 (3466) 43-81-79, +7 (902) 851-99-95 ",bark-kass@bk.ru,,1852
Новосибирск,39,"54.985179611579,82.868213335107",Пригоркин Сергей Леонидович (АСЦН),Сервисный центр,+7 (903) 935-25-13,s.prigorkin@ascn.ru,,271
Новый Уренгой,129,,Баранов П.В. ИП (Сервисный Центр Альфа ком),Сервисный центр,"+7 (3494) 93-94-00  , +7 (932) 094-00-44, +7 (902) 85-71-777",233046@bk.ru,,1851
Ноябрьск,137,"63.185336252356,75.448038584656",ЦТО-Регистр ЗАО,Сервисный центр,"+7 (3496) 42-80-76, +7 (3496) 42-81-64",chernyavskay66@mail.ru,,1872
Нягань,89,"62.140525044297,65.438839878711",Муратов М.Г. ИП,Сервисный центр,"+7 (908) 88-76-175, +7 (908) 88-79-057",86nyagan@gmail.com,79088879057@ya.ru,310
Омск,37,"54.97700145545,73.340460763468",Пригоркин Сергей Леонидович (АСЦН),Сервисный центр,+7 (903) 935-25-13,s.prigorkin@ascn.ru,,272
Орел,130,,ДЕЛЬТАСЕРВИС ООО,Сервисный центр,+7 (4862)43-53-44,delta-srv@mail.ru,,1855
Оренбург,77,"51.819087491924,55.109871415344",Оренбургторгтехника АСЦ ООО,Сервисный центр,"+7 (3532) 22-80-06, +7 (3532) 36-18-02",doncov_88@mail.ru,,297
Орск,76,"51.230601415756,58.479189686508",Лиана ООО,Сервисный центр,+7 (3537) 21-00-16,liana@ooo-liana.ru,mail@ooo-liana.ru,296
Пенза,36,"53.206527075905,45.012209878174",Зарипов Фанис Газизович (АСЦН),Сервисный центр,+7 (962) 553-47-37,f.zaripov@ascn.ru,,273
Пермь,35,"58.025664838034,56.293273686508",Партнер ККМ ЦТТ ООО,Сервисный центр,+7 (800) 302-11-32,babuhinaov@cttp.ru,,298
Пермь,35,,Электроника ООО,Сервисный центр,+7 (342) 255-40-20 доб.421,kuznecova@permkkm.ru,,1864
Пермь,35,"58.01129023283,56.278565084656",Цифра Сервис ООО,Сервисный центр,+7 (908) 272-33-59,89082723359@list.ru,,1871
Пермь,35,,Арктур Сервис ООО ,Сервисный центр,"+7 (342) 258-08-03 , +7 (902) 836-57-86",disp@arcturs.ru,,1878
Псков,79,"57.820224898303,28.471641671008",ООО «ЦТО-Сервис»,Сервисный центр,8 (8112) 29-22-12,servcto@yandex.ru,serjproh@gmail.com,299
Петрозаводск,80,"61.778116087199,34.395357042328",ООО «Республиканский центр ККМ»,Сервисный центр,"+7 (8142) 57-68-81, +7 (8142) 57-70-07, +7 (8142) 73-31-45",mishura@centrkkm.ru,,301
Ростов-на-Дону,34,"47.230838302543,39.712289126984",Лебедев Игорь Александрович,Сервисный центр,+7 (961) 851-78-51,i.lebedev@ascn.ru,,274
Рязань,83,"54.625791158116,39.743860957672",НПП ООО «Промикс»,Сервисный центр,+7 (4912) 25-62-62 доб. 102,a.levina@npp-promix.ru,cto@npp-promix.ru,304
Самара,60,"53.262298930198,50.238723898272",Шувалов Юрий Александрович (АСЦН),Сервисный центр,+7 (905) 017-52-22,y.shuvalov@ascn.ru,,275
Санкт-Петербург,33,"59.933792850459,30.430758686508",Иванов Алексей Андреевич (АСЦН),Сервисный центр,+7 (965) 007-10-57,a.ivanov@ascn.spb.ru,,276
Саратов,84,"51.58572508177,45.933984415344",ООО «Фараон»,Сервисный центр,+7 (8452) 980-100,faraon@overta.ru,,305
Салехард,135,"66.535054234098,66.589950457672","ООО ""Технический центр ККМ""",Сервисный центр,+7 (349) 224-83-54,tco-kkm@ya.ru,,1869
Смоленск,85,"54.781554091153,32.088964584656",ПЕГАС ООО,Сервисный центр,"+7 (4812) 601-500  , +7 (919) 040-10-40",support@pegas67.ru,kv@pegas67.ru,306
Сочи,61,"43.607270545385,39.735363293579",Лебедев Игорь Александрович (АСЦН),Сервисный центр,+7 (861) 200-13-41,i.lebedev@ascn.ru,,277
Славгород,138,"52.991657747259,78.650542029413",ЦТО-СТАРК-ЯРОВОЕ ООО,Сервисный центр,"+7 (38568) 5-67-57, +7 (913) 214-94-03",slavg@stark-cto.ru,,1874
Сургут,88,"61.255734737848,73.419362711639",ООО «СЛАВПРОГ»,Сервисный центр,"+7 (3462) 21-01-15, +7 (3462) 37-67-88, +7 (912) 088-68-88",alexandr_301@mail.ru,,1867
Сургут,88,,"OOO ""СИТ""",Сервисный центр,"+7 (3462) 68-69-68 , +7 (922)-653-71-63",Sit-surgut@mail.ru,miroshnichenko_su@mail.ru,1879
Ставрополь,62,"45.036084513765,41.946057415344",Лебедев Игорь Александрович (АСЦН),Сервисный центр,+7 (961) 851-78-51,i.lebedev@ascn.ru,,278
Сыктывкар,81,"61.667127557479,50.790330915344",ООО «Группа компаний Денвик»,Сервисный центр,"+7 (800) 200-27-74, +7 (904) 209-87-22",sobolev@denvic.ru,is@denvic.ru,302
Тамбов,63,"52.737165159763,41.439593648437",Ритейл-Сервис АСЦ ООО,Сервисный центр,"+7 (4752) 76-00-87 , +7 (980) 67-19-199",support@r-servis.ru;,,279
Тверь,86,"56.847261184947,35.927120415344",Прима Регион ООО,Сервисный центр,"+7 (4822) 34-13-05, +7 (4822) 34-13-07, +7 (4822) 34-13-09",mikrukova@primaplus.ru,,307
Тихвин,73,"59.643585916647,33.518019126984",ООО	«Таис 23»,Сервисный центр,"+7 (813 67) 5-10-37, 5-15-02",cto-tais23@yandex.ru,,293
Тула,87,"54.202620022829,37.648677542328",Вольтаж ООО,Сервисный центр,"+7 (4872) 28-27-28, +7 (961) 263-83-80",Info.ooo.voltage@gmail.com,ooo.voltage@gmail.com,308
Тула,87,,Южный берег ООО,Сервисный центр,"+7 (920) 74-88-077, +7 (487) 24-24-472",s-bereg@mail.ru,,1863
Тюмень,29,"57.154038598442,65.529116822632",АЙТИ СЕРВИС ПАРТНЕР ООО,Сервисный центр,"+7 (800) 775-31-02, +7 (3452) 66-80-86",office@itservp.com,support@itservp.com,280
Тюмень,29,,Элвис Технологии ООО ,Сервисный центр,+7 (922) 483 33 11,elviscto@mail.ru,,1865
Тюмень,29,"57.132736273587,65.481783415344",Элвис-Технологии,Сервисный центр,+7 (922) 483 33 11,elviscto@mail.ru,,225
Ульяновск,64,"54.317306144681,48.397456228836",Зарипов Фанис Газизович (АСЦН),Сервисный центр,+7 (962) 553-47-37,f.zaripov@ascn.ru,,281
Уссурийск,28,,НЭК Уссурийск ООО,Сервисный центр,+7 (4234) 31-93-30,necussur@gmail.com,,1859
Уфа,27,"54.754030397133,56.022368686508",Зарипов Фанис Газизович (АСЦН),Сервисный центр,+7 (962) 553-47-37,f.zaripov@ascn.ru,,282
Уфа,27,"54.796833800359,56.07847285582",ООО «Пролайн»,Сервисный центр,"+7 (347) 2-845-747, +7 (919) 609-74-59",prolinecto@mail.ru,,300
Уфа,27,"54.72512342861,55.977669398148",ТОР,Сервисный центр,"+7 (347) 253-25-55, 28-77-92",iptor@ufanet.ru,tor@iptor.ru,222
Хабаровск,26,,Беллатрикс ООО,Сервисный центр,"+7 (4212) 47-69-34 , +7 (914) 159-44-92",it-storg@mail.ru ,it-storg@mail.ru,1853
Ханты-Мансийск,122,,ДИМАСТЕР ООО,Сервисный центр,"+7 (34670) 2-31-45 , +7 (904) 885-26-90 , +7 (922) 432-77-22",kkm_dimaster@mail.ru,,1856
Челябинск,65,"55.156311333356,61.423287693359",Юрченко Антон Витальевич (АСЦН),Сервисный центр,+7 (965) 500-89-10,a.yurchenko@ascn.ru,,283
Шахунья,127,,Альтаир ООО,Сервисный центр,+7 (950) 357-33-57,cto-altair@yandex.ru,,1849
Элиста,98,"46.304995789314,44.256284878117",Зезин Дмитрий Иванович (АСЦН),Сервисный центр,"+7 905 395-91-11, +7 (8442) 42-15-41",d.zezin@ascn.ru,,521
Югорск,132,,Практика АйТи ООО,Сервисный центр,"+7 (34675) 78-800 , +7 (34675) 78-700 , +7 (900) 388-37-73 , +7 (932) 420-23-99",dir@praktikait.ru,service@praktikait.ru,1861
Южно-Сахалинск,131,,Мастер-Град ООО,Сервисный центр,"+7 (4242) 72-38-13, +7 (4242) 72-21-52",mast@sakhalin.ru,,1858
Ярославль,66,"57.65917453212,39.845036584656",Соколов Игорь Сергеевич (АСЦН),Сервисный центр,+ (905) 139-30-03,i.sokolov@ascn.ru,,284
